Name,District,Municipality,Township,Line
Porto Campanha,PORTO,PORTO,Porto,Linha do Norte
Viana do Castelo,VIANA DO CASTELO,VIANA DO CASTELO,Viana do Castelo,Linha do Minho
Ermidas-Sado,SETuBAL,SANTIAGO DO CACeM,Ermidas-Sado,Linha do Sul
Faro,FARO,FARO,Faro,Linha do Algarve
Funcheira,BEJA,OURIQUE,Funcheira,Linha do Sul
Lisboa Oriente,LISBOA,LISBOA,Parque das Nacoes,Linha do Norte
Nine,BRAGA,FAMALICaO,Nine,Linha do Minho
Pinhal Novo,SETuBAL,PALMELA,Pinhal Novo,Linha do Sul
Pombal,LEIRIA,POMBAL,Pombal,Linha do Norte
Tunes,FARO,SILVES,Tunes,Linha do Sul
Vila Nova de Gaia-Devesas,PORTO,VILA NOVA DE GAIA,Vila Nova de Gaia,Linha do Norte
Silva,BRAGA,BARCELOS,Silva,Linha do Minho
Sao Pedro da Torre,VIANA DO CASTELO,VALENcA,Sao Pedro da Torre,Linha do Minho
Vila Nova da Rainha,LISBOA,AZAMBUJA,Vila Nova da Rainha,Linha do Norte
Estarreja,AVEIRO,ESTARREJA,Beduido e Veiros,Linha do Norte
Branca,AVEIRO,ALBERGARIA-A-VELHA,Branca,Linha do Vouga
Valongo-Vouga,AVEIRO,aGUEDA,Valongo do Vouga,Linha do Vouga
Mirao,PORTO,BAIaO,Santa Cruz do Douro e Sao Tome de Covelas,Linha do Douro
Oliveira,PORTO,AMARANTE,Vila Mea,Linha do Douro
Famalicao,BRAGA,VILA NOVA DE FAMALICaO,Vila Nova de Famalicao e Calendario,Linha do Minho
Covas,BRAGA,GUIMARaES,Urgezes,Linha de Guimaraes
Darque,VIANA DO CASTELO,VIANA DO CASTELO,Darque,Linha do Minho
Seica-Ourem,SANTAReM,OUReM,Seica,Linha do Norte
Alferrarede,SANTAReM,ABRANTES,Abrantes (Sao Vicente e Sao Joao) e Alferrarede,Linha da Beira Baixa
Fernando Po,SETuBAL,PALMELA,Poceirao e Marateca,Linha do Alentejo
Aveiro - Vouga,AVEIRO,AVEIRO,Esgueira,Linha do Vouga
Sao Romao,PORTO,TROFA,Coronado (Sao Romao e Sao Mamede),Linha do Minho
Freixo de Numao,GUARDA,VILA NOVA DE FOZ CoA,Vila Nova de Foz Coa,Linha do Douro
Benquerencas,CASTELO BRANCO,CASTELO BRANCO,Benquerencas,Linha da Beira Baixa
Fungalvaz Resguardo,SANTAReM,TOMAR,Madalena e Beselga,Linha do Norte
Alcainca-Moinhos,LISBOA,MAFRA,Malveira e Sao Miguel de Alcainca,Linha do Oeste
Pereirinhas,BRAGA,GUIMARaES,Moreira de Conegos,Linha de Guimaraes
Sao Frutuoso,PORTO,MAIA,Folgosa,Linha do Minho
Vila Franca de Xira,LISBOA,VILA FRANCA DE XIRA,Vila Franca de Xira,Linha do Norte
Couto de Cucujaes,AVEIRO,OLIVEIRA DE AZEMeIS,Vila de Cucujaes,Linha do Vouga
Oliveira de Azemeis,AVEIRO,OLIVEIRA DE AZEMeIS,O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail,Linha do Vouga
Carreco,VIANA DO CASTELO,VIANA DO CASTELO,Carreco,Linha do Minho
Afife,VIANA DO CASTELO,VIANA DO CASTELO,Afife,Linha do Minho
Simoes,COIMBRA,SOURE,Soure,Linha do Norte
Taipa - Requeixo,AVEIRO,AVEIRO,Requeixo, Nossa Senhora de Fatima e Nariz,Linha do Vouga
Marco de Canaveses,PORTO,MARCO DE CANAVESES,Marco,Linha do Douro
Vila Nova de Ancos,COIMBRA,SOURE,Vila Nova de Ancos,Linha do Norte
Sanfins,AVEIRO,SANTA MARIA DA FEIRA,Santa Maria da Feira, Travanca, Sanfins e Espargo,Linha do Vouga
Sao Mamede de Infesta,PORTO,MATOSINHOS,Sao Mamede de Infesta e Senhora da Hora,Linha de Leixoes
Ferreiros,BRAGA,BRAGA,Ferreiros e Gondizalves,Ramal de Braga
Contumil,PORTO,PORTO,Campanha,Linha do Minho
Meinedo,PORTO,LOUSADA,Meinedo,Linha do Douro
Rio Tinto,PORTO,GONDOMAR,Rio Tinto,Linha do Minho
Cete,PORTO,PAREDES,Cete,Linha do Douro
Vila Mea,PORTO,AMARANTE,Vila Mea,Linha do Douro
Caxarias,SANTAReM,OUReM,Caxarias,Linha do Norte
Entroncamento,SANTAReM,ENTRONCAMENTO,Nossa Senhora de Fatima,Linha do Norte
Senhora da Agonia,VIANA DO CASTELO,CAMINHA,Caminha (Matriz) e Vilarelho,Linha do Minho
Ermida,PORTO,BAIaO,Santa Marinha do Zezere,Linha do Douro
Mealhada Norte,AVEIRO,MEALHADA,Mealhada, Ventosa do Bairro e Antes,Linha do Norte
Avanca,AVEIRO,ESTARREJA,Avanca,Linha do Norte
Santana Cartaxo Resguardo,SANTAReM,CARTAXO,Vila Cha de Ourique,Linha do Norte
Braga,BRAGA,BRAGA,Braga (Maximinos, Se e Cividade),Ramal de Braga
Cuca,BRAGA,GUIMARaES,Moreira de Conegos,Linha de Guimaraes
Travasso,AVEIRO,aGUEDA,Travasso e ois da Ribeira,Linha do Vouga
Salreu,AVEIRO,ESTARREJA,Salreu,Linha do Norte
Sao Joao de Ver,AVEIRO,SANTA MARIA DA FEIRA,Sao Joao de Ver,Linha do Vouga
Pelariga,LEIRIA,POMBAL,Pelariga,Linha do Norte
Meia Praia,FARO,LAGOS,Sao Goncalo de Lagos,Linha do Algarve
Castanheira do Ribatejo,LISBOA,VILA FRANCA DE XIRA,Castanheira do Ribatejo e Cachoeiras,Linha do Norte
Granja,PORTO,VILA NOVA DE GAIA,Sao Felix da Marinha,Linha do Norte
Ul,AVEIRO,OLIVEIRA DE AZEMeIS,O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail,Linha do Vouga
Monte de Paramos,AVEIRO,ESPINHO,Paramos,Linha do Vouga
Bobadela,LISBOA,LOURES,Santa Iria de Azoia, Sao Joao da Talha e Bobadela,Linha do Norte
Livracao,PORTO,MARCO DE CANAVESES,Constance,Linha do Douro
Alges,LISBOA,OEIRAS,Alges, Linda-a-Velha e Cruz Quebrada-Dafundo,Linha de Cascais
Francelos,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Olhao,FARO,OLHaO,Olhao,Linha do Algarve
Tavira,FARO,TAVIRA,Tavira (Santa Maria e Santiago),Linha do Algarve
Oronhe,AVEIRO,aGUEDA,Recardaes e Espinhel,Linha do Vouga
Pacos de Brandao,AVEIRO,SANTA MARIA DA FEIRA,Pacos de Brandao,Linha do Vouga
Pinheiro da Bemposta,AVEIRO,OLIVEIRA DE AZEMeIS,Pinheiro da Bemposta, Travanca e Palmaz,Linha do Vouga
Setubal-Mar,SETuBAL,SETuBAL,Setubal (Sao Sebastiao),Linha do Sul
Casal do alvaro,AVEIRO,aGUEDA,Recardaes e Espinhel,Linha do Vouga
Pereira,COIMBRA,MONTEMOR-O-VELHO,Pereira,Linha do Norte
Albergaria-a-Velha,AVEIRO,ALBERGARIA-A-VELHA,Albergaria-a-Velha e Valmaior,Linha do Vouga
Taveiro,COIMBRA,COIMBRA,Taveiro, Ameal e Arzila,Linha do Norte
Santiago de Riba-Ul,AVEIRO,OLIVEIRA DE AZEMeIS,O. Azemeis, Riba-Ul, Ul, Macinhata da Seixa, Madail,Linha do Vouga
Espinho,AVEIRO,ESPINHO,Espinho,Linha do Norte
Paraimo,AVEIRO,ANADIA,Sangalhos,Linha do Norte
Carapecos,BRAGA,BARCELOS,Carapecos,Linha do Minho
Recezinhos,PORTO,PENAFIEL,Casteloes,Linha do Douro
Esmeriz,BRAGA,VILA NOVA DE FAMALICaO,Esmeriz e Cabecudos,Linha do Minho
Trancoso,PORTO,PAREDES,Recarei,Linha do Douro
Aveleda,BRAGA,BRAGA,Celeiros, Aveleda e Vimieiro,Ramal de Braga
Vila Pouca do Campo,COIMBRA,COIMBRA,Taveiro, Ameal e Arzila,Linha do Norte
Curia,AVEIRO,ANADIA,Tamengos, Aguim e ois do Bairro,Linha do Norte
Terronhas,PORTO,PAREDES,Recarei,Linha do Douro
Senhora das Neves,VIANA DO CASTELO,VIANA DO CASTELO,Vila de Punhe,Linha do Minho
Carregado Norte,LISBOA,ALENQUER,Carregado e Cadafais,Linha do Norte
General Torres,PORTO,VILA NOVA DE GAIA,Santa Marinha e Sao Pedro da Afurada,Linha do Norte
Coimbra B,COIMBRA,COIMBRA,Eiras e Sao Paulo de Frades,Linha do Norte
Mazagao,BRAGA,BRAGA,Celeiros, Aveleda e Vimieiro,Ramal de Braga
Portela,PORTO,TROFA,Covelas,Linha do Minho
Mouquim,BRAGA,VILA NOVA DE FAMALICaO,Lemenhe, Mouquim e Jesufrei,Linha do Minho
Castelo Novo,CASTELO BRANCO,FUNDaO,Castelo Novo,Linha da Beira Baixa
Giesteira,BRAGA,GUIMARaES,Lordelo,Linha de Guimaraes
Seixas,VIANA DO CASTELO,CAMINHA,Seixas,Linha do Minho
Vermoil,LEIRIA,POMBAL,Santiago e S. Simao de Litem e Albergaria dos Doze,Linha do Norte
Ruilhe,BRAGA,BRAGA,Ruilhe,Ramal de Braga
Mato Miranda,SANTAReM,GOLEGa,Azinhaga,Linha do Norte
Tadim,BRAGA,BRAGA,Tadim,Ramal de Braga
Carvalhal da Portela,AVEIRO,aGUEDA,Valongo do Vouga,Linha do Vouga
Fontela,COIMBRA,FIGUEIRA DA FOZ,Vila Verde,Linha do Oeste
Ferradosa,VISEU,SaO JOaO DA PESQUEIRA,Vale de Figueira,Linha do Douro
Tojeirinha,CASTELO BRANCO,VILA VELHA DE RoDaO,Vila Velha de Rodao,Linha da Beira Baixa
Irivo,PORTO,PENAFIEL,Irivo,Linha do Douro
Martinganca,LEIRIA,ALCOBAcA,Pataias e Martinganca,Linha do Oeste
Coimbra,COIMBRA,COIMBRA,Se Nova, Santa Cruz, Almedina e Sao Bartolomeu,Ramal da Lousa
Sao Romao - A,PORTO,TROFA,Coronado (Sao Romao e Sao Mamede),Linha do Minho
Pedra Furada,LISBOA,SINTRA,Almargem do Bispo, Pero Pinheiro e Montelavar,Linha do Oeste
Gata,GUARDA,GUARDA,Casal de Cinza,Linha da Beira Alta
Curvaceiras,SANTAReM,TOMAR,Madalena e Beselga,Ramal de Tomar
Rede,VILA REAL,MESaO FRIO,Vila Marim,Linha do Douro
Madalena,PORTO,VILA NOVA DE GAIA,Madalena,Linha do Norte
Cortegaca,AVEIRO,OVAR,Cortegaca,Linha do Norte
Pala,PORTO,BAIaO,Ancede e Ribadouro,Linha do Douro
Gondarem,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,Gondarem,Linha do Minho
Santa Iria,LISBOA,LOURES,Santa Iria de Azoia, Sao Joao da Talha e Bobadela,Linha do Norte
Torres Vedras,LISBOA,TORRES VEDRAS,Santa Maria, Sao Pedro e Matacaes,Linha do Oeste
Caldas de Moledo,VILA REAL,PESO DA ReGUA,Fontelas,Linha do Douro
Mealhada,AVEIRO,MEALHADA,Mealhada, Ventosa do Bairro e Antes,Linha do Norte
Travanca-Macinhata,AVEIRO,OLIVEIRA DE AZEMeIS,Pinheiro da Bemposta, Travanca e Palmaz,Linha do Vouga
Pombal Resguardo,LEIRIA,POMBAL,Pombal,Linha do Norte
Soure,COIMBRA,SOURE,Soure,Linha do Norte
Belmonte-Manteigas,CASTELO BRANCO,BELMONTE,Belmonte e Colmeal da Torre,Linha da Beira Baixa
Oliveirinha Cabanas,VISEU,CARREGAL DO SAL,Oliveira do Conde,Linha da Beira Alta
Bagauste,VILA REAL,PESO DA ReGUA,Poiares e Canelas,Linha do Douro
Tramagal,SANTAReM,ABRANTES,Tramagal,Linha da Beira Baixa
Fanhais,LEIRIA,NAZARe,Nazare,Linha do Oeste
Vila da Feira,AVEIRO,SANTA MARIA DA FEIRA,Santa Maria da Feira, Travanca, Sanfins e Espargo,Linha do Vouga
Bencanta,COIMBRA,COIMBRA,Sao Martinho do Bispo e Ribeira de Frades,Linha do Norte
Paramos,AVEIRO,ESPINHO,Paramos,Linha do Norte
Carregal do Sal,VISEU,CARREGAL DO SAL,Carregal do Sal,Linha da Beira Alta
Senhora das Dores,PORTO,TROFA,Bougado (Sao Martinho e Santiago),Linha do Minho
aguas Santas,PORTO,MAIA,aguas Santas,Linha do Minho
Sao Gemil,PORTO,MAIA,aguas Santas,Linha de Leixoes
Monte Redondo,LEIRIA,LEIRIA,Monte Redondo e Carreira,Linha do Oeste
Barroselas,VIANA DO CASTELO,VIANA DO CASTELO,Barroselas e Carvoeiro,Linha do Minho
Belver,PORTALEGRE,GAVIaO,Belver,Linha da Beira Baixa
Faria,AVEIRO,OLIVEIRA DE AZEMeIS,Vila de Cucujaes,Linha do Vouga
Escapaes,AVEIRO,SANTA MARIA DA FEIRA,Escapaes,Linha do Vouga
Aguim,AVEIRO,ANADIA,Tamengos, Aguim e ois do Bairro,Linha do Norte
Mosteiro,PORTO,BAIaO,Ancede e Ribadouro,Linha do Douro
Lardosa,CASTELO BRANCO,CASTELO BRANCO,Lardosa,Linha da Beira Baixa
Paul,LEIRIA,BOMBARRAL,Rolica,Linha do Oeste
Dois Portos,LISBOA,TORRES VEDRAS,Dois Portos e Runa,Linha do Oeste
Recarei - Sobreira,PORTO,PAREDES,Sobreira,Linha do Douro
Ademia,COIMBRA,COIMBRA,Trouxemil e Torre de Vilela,Linha do Norte
Canicos,BRAGA,VILA NOVA DE FAMALICaO,Bairro,Linha de Guimaraes
Donas,CASTELO BRANCO,FUNDaO,Fundao, Valverde, Donas, A. Joanes, A. Nova do Cabo,Linha da Beira Baixa
Lapa do Lobo,VISEU,NELAS,Lapa do Lobo,Linha da Beira Alta
Ameal,COIMBRA,COIMBRA,Taveiro, Ameal e Arzila,Linha do Norte
Regua,VILA REAL,PESO DA ReGUA,Peso da Regua e Godim,Linha do Douro
Valadares,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Barracao-Sabugal,GUARDA,GUARDA,Panoias de Cima,Linha da Beira Baixa
Valado,LEIRIA,NAZARe,Valado dos Frades,Linha do Oeste
Soito,VISEU,MORTaGUA,Espinho,Linha da Beira Alta
Pinhao,VILA REAL,ALIJo,Pinhao,Linha do Douro
Campo-Serra,LEIRIA,CALDAS DA RAINHA,Tornada e Salir do Porto,Linha do Oeste
Pampilhosa,AVEIRO,MEALHADA,Pampilhosa,Linha do Norte
evora,eVORA,eVORA,Malagueira e Horta das Figueiras,Linha de evora
Bombarral,LEIRIA,BOMBARRAL,Bombarral e Vale Covo,Linha do Oeste
Arentim,BRAGA,BRAGA,Arentim e Cunha,Ramal de Braga
Parada,PORTO,PAREDES,Parada de Todeia,Linha do Douro
Luz,FARO,TAVIRA,Luz de Tavira e Santo Estevao,Linha do Algarve
Penteado,SETuBAL,MOITA,Moita,Linha do Alentejo
Portela de Sintra,LISBOA,SINTRA,S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim,Linha de Sintra
Lavradio,SETuBAL,BARREIRO,Barreiro e Lavradio,Linha do Alentejo
Porto de Sines,SETuBAL,SINES,Sines,Linha de Sines
Feliteira,LISBOA,TORRES VEDRAS,Dois Portos e Runa,Linha do Oeste
Guimaraes,BRAGA,GUIMARaES,Urgezes,Linha de Guimaraes
Lapa,AVEIRO,SANTA MARIA DA FEIRA,Sao Paio de Oleiros,Linha do Vouga
Oia,AVEIRO,OLIVEIRA DO BAIRRO,Oia,Linha do Norte
Suzao,PORTO,VALONGO,Valongo,Linha do Douro
Virtudes,LISBOA,AZAMBUJA,Aveiras de Baixo,Linha do Norte
Nespereira,BRAGA,GUIMARaES,Nespereira,Linha de Guimaraes
Algoz,FARO,SILVES,Algoz e Tunes,Linha do Algarve
Areia - Darque,VIANA DO CASTELO,VIANA DO CASTELO,Darque,Linha do Minho
Lordelo,BRAGA,GUIMARaES,Lordelo,Linha de Guimaraes
Albergaria-a-Nova,AVEIRO,ALBERGARIA-A-VELHA,Branca,Linha do Vouga
Tortosendo,CASTELO BRANCO,COVILHa,Tortosendo,Linha da Beira Baixa
Casais,COIMBRA,COIMBRA,Sao Martinho do Bispo e Ribeira de Frades,Linha do Norte
Cela,LEIRIA,ALCOBAcA,Cela,Linha do Oeste
Rodao,CASTELO BRANCO,VILA VELHA DE RoDaO,Vila Velha de Rodao,Linha da Beira Baixa
Carrico,LEIRIA,POMBAL,Carrico,Linha do Oeste
Espadanal da Azambuja,LISBOA,AZAMBUJA,Vila Nova da Rainha,Linha do Norte
Couto de Cambeses,BRAGA,BARCELOS,Cambeses,Ramal de Braga
Parede,LISBOA,CASCAIS,Carcavelos e Parede,Linha de Cascais
Vesuvio,GUARDA,VILA NOVA DE FOZ CoA,Numao,Linha do Douro
Fundao,CASTELO BRANCO,FUNDaO,Fundao, Valverde, Donas, A. Joanes, A. Nova do Cabo,Linha da Beira Baixa
Sao Martinho do Porto,LEIRIA,ALCOBAcA,Sao Martinho do Porto,Linha do Oeste
Quinta do Valongo - Vacarica,AVEIRO,MEALHADA,Vacarica,Linha da Beira Alta
Oleiros,PORTO,PENAFIEL,Guilhufe e Urro,Linha do Douro
Alhandra,LISBOA,VILA FRANCA DE XIRA,Alhandra, Sao Joao dos Montes e Calhandriz,Linha do Norte
Areosa,VIANA DO CASTELO,VIANA DO CASTELO,Areosa,Linha do Minho
Vale de Figueira,SANTAReM,SANTAReM,Sao Vicente do Paul e Vale de Figueira,Linha do Norte
Juncal,PORTO,MARCO DE CANAVESES,Paredes de Viadores e Manhuncelos,Linha do Douro
Sao Martinho do Campo,PORTO,VALONGO,Campo e Sobrado,Linha do Douro
Paialvo,SANTAReM,TOMAR,Madalena e Beselga,Linha do Norte
Vilela - Fornos,COIMBRA,COIMBRA,Trouxemil e Torre de Vilela,Linha do Norte
Leandro,PORTO,MAIA,Sao Pedro Fins,Linha do Minho
Vila Nova da Cerveira,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,Vila Nova de Cerveira e Lovelhe,Linha do Minho
Vargelas,VISEU,SaO JOaO DA PESQUEIRA,Vale de Figueira,Linha do Douro
Noemi,GUARDA,ALMEIDA,Miuzela e Porto de Ovelha,Linha da Beira Alta
Alcaide,CASTELO BRANCO,FUNDaO,Alcaide,Linha da Beira Baixa
Pinhel,GUARDA,PINHEL,Alverca da Beira/Bouca Cova,Linha da Beira Alta
Soalheira,CASTELO BRANCO,FUNDaO,Castelo Novo,Linha da Beira Baixa
Regueira de Pontes,LEIRIA,LEIRIA,Regueira de Pontes,Linha do Oeste
Mouriscas-A,SANTAReM,ABRANTES,Mouriscas,Linha da Beira Baixa
Carcavelos,LISBOA,CASCAIS,Carcavelos e Parede,Linha de Cascais
Oeiras,LISBOA,OEIRAS,Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias,Linha de Cascais
Leca do Balio,PORTO,MATOSINHOS,Custoias, Leca do Balio e Guifoes,Linha de Leixoes
Barrimau,BRAGA,VILA NOVA DE FAMALICaO,Vila Nova de Famalicao e Calendario,Linha do Minho
Portalegre,PORTALEGRE,PORTALEGRE,Urra,Linha do Leste
Sao Mamede,LEIRIA,BOMBARRAL,Rolica,Linha do Oeste
Telhada,COIMBRA,FIGUEIRA DA FOZ,Paiao,Linha do Oeste
Sao Mamede do Tua,VILA REAL,ALIJo,Castedo e Cotas,Linha do Douro
Mouriscas,SANTAReM,ABRANTES,Mouriscas,Linha da Beira Baixa
Ermesinde - A,PORTO,VALONGO,Ermesinde,Linha do Douro
Bicanho,COIMBRA,SOURE,Samuel,Linha do Oeste
Caldas da Rainha,LEIRIA,CALDAS DA RAINHA,Nossa Senhora do Populo, Coto e Sao Gregorio,Linha do Oeste
Luso Bucaco,AVEIRO,MEALHADA,Luso,Linha da Beira Alta
Barquinha,SANTAReM,VILA NOVA DA BARQUINHA,Vila Nova da Barquinha,Linha da Beira Baixa
Lares,COIMBRA,FIGUEIRA DA FOZ,Vila Verde,Linha do Oeste
Ramalhal,LISBOA,TORRES VEDRAS,Ramalhal,Linha do Oeste
Carrascal-Delongo,SANTAReM,TOMAR,Paialvo,Ramal de Tomar
Gouveia,VISEU,MANGUALDE,Abrunhosa-a-Velha,Linha da Beira Alta
Zibreira,LISBOA,SOBRAL DE MONTE AGRAcO,Sobral de Monte Agraco,Linha do Oeste
Santo Amaro,LISBOA,OEIRAS,Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias,Linha de Cascais
Barqueiros,VILA REAL,MESaO FRIO,Barqueiros,Linha do Douro
Cabeda,PORTO,VALONGO,Alfena,Linha do Douro
Fratel,CASTELO BRANCO,VILA VELHA DE RoDaO,Fratel,Linha da Beira Baixa
Assumar,PORTALEGRE,MONFORTE,Assumar,Linha do Leste
Marvila,LISBOA,LISBOA,Marvila,Linha de Cintura
Sabugo,LISBOA,SINTRA,Almargem do Bispo, Pero Pinheiro e Montelavar,Linha do Oeste
Aldeia,GUARDA,ALMEIDA,Castelo Bom,Linha da Beira Alta
Alcaria,CASTELO BRANCO,FUNDaO,Alcaria,Linha da Beira Baixa
Bouro,LEIRIA,CALDAS DA RAINHA,Tornada e Salir do Porto,Linha do Oeste
Cerdeira,GUARDA,SABUGAL,Cerdeira,Linha da Beira Alta
Alpedrinha,CASTELO BRANCO,FUNDaO,Alpedrinha,Linha da Beira Baixa
Dagorda - Peniche,LEIRIA,oBIDOS,Santa Maria, Sao Pedro e Sobral da Lagoa,Linha do Oeste
Bifurcacao do Luso,AVEIRO,MEALHADA,Luso,Linha da Beira Alta
Cais do Sodre,LISBOA,LISBOA,Misericordia,Linha de Cascais
Bemposta,SANTAReM,ABRANTES,Sao Facundo e Vale de Mos,Linha do Leste
Monte Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Fontela-A,COIMBRA,FIGUEIRA DA FOZ,Vila Verde,Linha do Oeste
Retaxo,CASTELO BRANCO,CASTELO BRANCO,Cebolais de Cima e Retaxo,Linha da Beira Baixa
Outeiro,LISBOA,TORRES VEDRAS,Campelos e Outeiro da Cabeca,Linha do Oeste
Torre das Vargens,PORTALEGRE,PONTE DE SOR,Ponte de Sor, Tramaga e Vale de Acor,Linha do Leste
Fazenda,PORTALEGRE,PONTE DE SOR,Ponte de Sor, Tramaga e Vale de Acor,Linha do Leste
Carvalhos de Figueiredo,SANTAReM,TOMAR,Madalena e Beselga,Ramal de Tomar
Guia,LEIRIA,POMBAL,Guia, Ilha e Mata Mourisca,Linha do Oeste
Contencas,VISEU,MANGUALDE,Santiago de Cassurraes e Povoa de Cervaes,Linha da Beira Alta
Jerumelo,LISBOA,SOBRAL DE MONTE AGRAcO,Sapataria,Linha do Oeste
Torre da Gadanha,eVORA,MONTEMOR-O-NOVO,Sao Cristovao,Linha do Alentejo
Bombel,eVORA,VENDAS NOVAS,Vendas Novas,Linha do Alentejo
Rio Meao,AVEIRO,SANTA MARIA DA FEIRA,Rio Meao,Linha do Vouga
Roma - Areeiro,LISBOA,LISBOA,Alvalade,Linha de Cintura
Entrecampos - Poente,LISBOA,LISBOA,Avenidas Novas,Linha de Cintura
Sete Rios,LISBOA,LISBOA,Sao Domingos de Benfica,Linha de Cintura
