Name,District,Municipality,Township,Line
Boliqueime,FARO,LOULe,Boliqueime,Linha do Algarve
Santo Tirso,PORTO,SANTO TIRSO,St. Tirso, Couto (S. Cristina e S. Miguel) e Burgaes,Linha de Guimaraes
Urgueiras,AVEIRO,ALBERGARIA-A-VELHA,Albergaria-a-Velha e Valmaior,Linha do Vouga
Chelas,LISBOA,LISBOA,Beato,Linha de Cintura
Alcantara-Mar,LISBOA,LISBOA,Estrela,Linha de Cascais
Penalva,SETuBAL,PALMELA,Quinta do Anjo,Linha do Sul
Alcantara-Terra,LISBOA,LISBOA,Estrela,Linha de Cintura
Ferragudo,FARO,LAGOA,Estombar e Parchal,Linha do Algarve
Cuba,BEJA,CUBA,Cuba,Linha do Alentejo
Mata,PORTALEGRE,ALTER DO CHaO,Chancelaria,Linha do Leste
Alvito,BEJA,ALVITO,Alvito,Linha do Alentejo
Vila Nova da Baronia,BEJA,ALVITO,Vila Nova da Baronia,Linha do Alentejo
Sao Joao das Craveiras,SETuBAL,MONTIJO,Pegoes,Linha do Alentejo
Moita,SETuBAL,MOITA,Moita,Linha do Alentejo
Agualva-Cacem,LISBOA,SINTRA,Agualva e Mira-Sintra,Linha de Sintra
Beja,BEJA,BEJA,Beja (Salvador e Santa Maria da Feira),Linha do Alentejo
Panoias,BEJA,OURIQUE,Panoias e Conceicao,Linha do Alentejo
Sintra,LISBOA,SINTRA,S. Maria, S. Miguel, S. Martinho e S. Pedro de Penaferrim,Linha de Sintra
Alcacovas,eVORA,eVORA,N. S. da Tourega e N. S. de Guadalupe,Linha do Alentejo
Coimbroes,PORTO,VILA NOVA DE GAIA,Canidelo,Linha do Norte
Pataias,LEIRIA,ALCOBAcA,Pataias e Martinganca,Linha do Oeste
Muxagata,GUARDA,FORNOS DE ALGODRES,Figueiro da Granja,Linha da Beira Alta
Almourol,SANTAReM,VILA NOVA DA BARQUINHA,Praia do Ribatejo,Linha da Beira Baixa
Verride,COIMBRA,MONTEMOR-O-VELHO,Abrunheira, Verride e Vila Nova da Barca,Ramal de Alfarelos
Alhos Vedros,SETuBAL,MOITA,Alhos Vedros,Linha do Alentejo
Baixa da Banheira,SETuBAL,MOITA,Baixa da Banheira e Vale da Amoreira,Linha do Alentejo
Sernada do Vouga,AVEIRO,aGUEDA,Macinhata do Vouga,Linha do Vouga
Oliveira do Bairro,AVEIRO,OLIVEIRA DO BAIRRO,Oliveira do Bairro,Linha do Norte
Rio de Mouro,LISBOA,SINTRA,Rio de Mouro,Linha de Sintra
Barreiro-A,SETuBAL,BARREIRO,Barreiro e Lavradio,Linha do Alentejo
Barreiro,SETuBAL,BARREIRO,Barreiro e Lavradio,Linha do Alentejo
Massama-Barcarena,LISBOA,OEIRAS,Barcarena,Linha de Sintra
Monte Abraao,LISBOA,SINTRA,Queluz e Belas,Linha de Sintra
Lavre,SANTAReM,CORUCHE,Santana do Mato,Linha de Vendas Novas
Sao Torcato,SANTAReM,CORUCHE,Coruche, Fajarda e Erra,Linha de Vendas Novas
Salgueirinha,SANTAReM,CORUCHE,Coruche, Fajarda e Erra,Linha de Vendas Novas
Quintans,AVEIRO,AVEIRO,Oliveirinha,Linha do Norte
Lousal,SETuBAL,GRaNDOLA,Azinheira dos Barros e Sao Mamede do Sadao,Linha do Sul
Porto Sao Bento,PORTO,PORTO,Cedofeita, Ildefonso, Se, Miragaia, Nicolau, Vitoria,Linha do Minho
Algueirao-Mem Martins,LISBOA,SINTRA,Algueirao-Mem Martins,Linha de Sintra
Lisboa Santa Apolonia,LISBOA,LISBOA,Sao Vicente,Linha do Norte
Morgado,SANTAReM,CARTAXO,Valada,Linha de Vendas Novas
Chanca,PORTALEGRE,ALTER DO CHaO,Chancelaria,Linha do Leste
Bifurcacao de Lares,COIMBRA,MONTEMOR-O-VELHO,Abrunheira, Verride e Vila Nova da Barca,Linha do Oeste
Montemor,COIMBRA,SOURE,Alfarelos,Ramal de Alfarelos
Cruz Quebrada,LISBOA,OEIRAS,Alges, Linda-a-Velha e Cruz Quebrada-Dafundo,Linha de Cascais
Santa Eulalia-A,PORTALEGRE,ELVAS,Santa Eulalia,Linha do Leste
Belem,LISBOA,LISBOA,Belem,Linha de Cascais
Ponte de Sor,PORTALEGRE,PONTE DE SOR,Ponte de Sor, Tramaga e Vale de Acor,Linha do Leste
Coina,SETuBAL,SEIXAL,Seixal, Arrentela e Aldeia de Paio Pires,Linha do Sul
Arrifana,AVEIRO,SANTA MARIA DA FEIRA,Arrifana,Linha do Vouga
Pocinho,GUARDA,VILA NOVA DE FOZ CoA,Vila Nova de Foz Coa,Linha do Douro
Fuseta,FARO,OLHaO,Moncarapacho e Fuseta,Linha do Algarve
Ourique,BEJA,CASTRO VERDE,Castro Verde e Casevel,Linha do Alentejo
Monte das Flores,eVORA,eVORA,Malagueira e Horta das Figueiras,Linha de evora
Alcantarilha,FARO,SILVES,Alcantarilha e Pera,Linha do Algarve
Poco Barreto,FARO,SILVES,Silves,Linha do Algarve
Paredes,PORTO,PAREDES,Paredes,Linha do Douro
Benfica,LISBOA,LISBOA,Benfica,Linha de Sintra
Sao Bartolomeu da Serra,SETuBAL,SANTIAGO DO CACeM,Santiago do Cacem, S. Cruz e S. Bartolomeu da Serra,Linha de Sines
Riachos - Torres Novas - Golega,SANTAReM,TORRES NOVAS,Riachos,Linha do Norte
Silves,FARO,SILVES,Silves,Linha do Algarve
Bom Joao,FARO,FARO,Faro (Se e Sao Pedro),Linha do Algarve
Santana Cartaxo,SANTAReM,CARTAXO,Vila Cha de Ourique,Linha do Norte
Pereiras,BEJA,ODEMIRA,Santa Clara-a-Velha,Linha do Sul
Monte Novo-Palma,SETuBAL,ALCaCER DO SAL,Santa Maria do Castelo e Santiago e Santa Susana,Linha do Sul
Aguda,PORTO,VILA NOVA DE GAIA,Arcozelo,Linha do Norte
Azinheira dos Barros – A,SETuBAL,GRaNDOLA,Azinheira dos Barros e Sao Mamede do Sadao,Linha do Sul
Formoselha / Santo Varao,COIMBRA,MONTEMOR-O-VELHO,Santo Varao,Linha do Norte
Almancil,FARO,LOULe,Almancil,Linha do Algarve
Agolada,SANTAReM,CORUCHE,Coruche, Fajarda e Erra,Linha de Vendas Novas
Fatela-Penamacor,CASTELO BRANCO,FUNDaO,Enxames,Linha da Beira Baixa
Alcains,CASTELO BRANCO,CASTELO BRANCO,Alcains,Linha da Beira Baixa
Silvalde,AVEIRO,ESPINHO,Silvalde,Linha do Norte
Salir do Porto,LEIRIA,CALDAS DA RAINHA,Tornada e Salir do Porto,Linha do Oeste
Parque das Cidades,FARO,LOULe,Almancil,Linha do Algarve
Pero Negro,LISBOA,SOBRAL DE MONTE AGRAcO,Sapataria,Linha do Oeste
Castelejo,VISEU,SANTA COMBA DaO,Sao Joao de Areias,Linha da Beira Alta
agueda,AVEIRO,aGUEDA,agueda e Borralha,Linha do Vouga
Mortagua,VISEU,MORTaGUA,Mortagua, Vale de Remigio, Cortegaca e Almaca,Linha da Beira Alta
Figueira da Foz,COIMBRA,FIGUEIRA DA FOZ,Buarcos e Sao Juliao,Linha do Oeste
Barcelos,BRAGA,BARCELOS,Arcozelo,Linha do Minho
Monte dos Lobos,VISEU,MORTaGUA,Mortagua, Vale de Remigio, Cortegaca e Almaca,Linha da Beira Alta
Estombar-Lagoa,FARO,LAGOA,Estombar e Parchal,Linha do Algarve
Trofa,PORTO,TROFA,Bougado (Sao Martinho e Santiago),Linha do Minho
Desvio de Picotas,BEJA,CASTRO VERDE,Castro Verde e Casevel,Ramal Neves Corvo
Minas de Neves Corvo,BEJA,CASTRO VERDE,Santa Barbara de Padroes,Ramal Neves Corvo
Palmilheira,PORTO,MAIA,aguas Santas,Linha do Minho
Cavaco,AVEIRO,SANTA MARIA DA FEIRA,Santa Maria da Feira, Travanca, Sanfins e Espargo,Linha do Vouga
Famalicao da Nazare,LEIRIA,NAZARe,Famalicao,Linha do Oeste
Aguieira,AVEIRO,aGUEDA,Valongo do Vouga,Linha do Vouga
Valongo,PORTO,VALONGO,Valongo,Linha do Douro
Carvalha,VIANA DO CASTELO,VILA NOVA DE CERVEIRA,Campos e Vila Mea,Linha do Minho
Pego,AVEIRO,MEALHADA,Vacarica,Linha da Beira Alta
Praia do Ribatejo,SANTAReM,VILA NOVA DA BARQUINHA,Praia do Ribatejo,Linha da Beira Baixa
Marujal,COIMBRA,MONTEMOR-O-VELHO,Abrunheira, Verride e Vila Nova da Barca,Ramal de Alfarelos
Entrecampos,LISBOA,LISBOA,Alvalade,Linha de Cintura
Viana,eVORA,VIANA DO ALENTEJO,Viana do Alentejo,Linha do Alentejo
Pegoes,SETuBAL,MONTIJO,Pegoes,Linha do Alentejo
Merces,LISBOA,SINTRA,Algueirao-Mem Martins,Linha de Sintra
Garvao,BEJA,OURIQUE,Garvao e Santa Luzia,Linha do Sul
Reboleira,LISBOA,AMADORA,aguas Livres,Linha de Sintra
Marinhais,SANTAReM,SALVATERRA DE MAGOS,Marinhais,Linha de Vendas Novas
Muge,SANTAReM,SALVATERRA DE MAGOS,Muge,Linha de Vendas Novas
Canal-Caveira,SETuBAL,GRaNDOLA,Grandola e Santa Margarida da Serra,Linha do Sul
Vendas Novas,eVORA,VENDAS NOVAS,Vendas Novas,Linha do Alentejo
Sao Pedro do Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Cascais,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Sao Joao do Estoril,LISBOA,CASCAIS,Cascais e Estoril,Linha de Cascais
Paco de Arcos,LISBOA,OEIRAS,Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias,Linha de Cascais
Caxias,LISBOA,OEIRAS,Oeiras e S. Juliao da Barra, Paco de Arcos e Caxias,Linha de Cascais
Crato,PORTALEGRE,CRATO,Crato e Martires, Flor da Rosa e Vale do Peso,Linha do Leste
Fogueteiro,SETuBAL,SEIXAL,Seixal, Arrentela e Aldeia de Paio Pires,Linha do Sul
Foros de Amora,SETuBAL,SEIXAL,Amora,Linha do Sul
Pragal,SETuBAL,ALMADA,Almada, Cova da Piedade, Pragal e Cacilhas,Linha do Sul
Alvito-A,LISBOA,LISBOA,Alcantara,Linha do Sul
Fuseta-A,FARO,OLHaO,Moncarapacho e Fuseta,Linha do Algarve
Cacela,FARO,VILA REAL DE SANTO ANToNIO,Vila Nova de Cacela,Linha do Algarve
Durraes,BRAGA,BARCELOS,Durraes e Tregosa,Linha do Minho
Povoa,LISBOA,VILA FRANCA DE XIRA,Povoa de Santa Iria e Forte da Casa,Linha do Norte
Portimao,FARO,PORTIMaO,Portimao,Linha do Algarve
Caide,PORTO,LOUSADA,Caide de Rei,Linha do Douro
Albergaria dos Doze,LEIRIA,POMBAL,Santiago e S. Simao de Litem e Albergaria dos Doze,Linha do Norte
Vizela,BRAGA,VIZELA,Caldas de Vizela (Sao Miguel e Sao Joao),Linha de Guimaraes
Mexilhoeira Grande,FARO,PORTIMaO,Mexilhoeira Grande,Linha do Algarve
Messines-Alte,FARO,SILVES,Sao Bartolomeu de Messines,Linha do Sul
Sao Marcos,FARO,SILVES,Sao Marcos da Serra,Linha do Sul
Santa Clara-Saboia,BEJA,ODEMIRA,Santa Clara-a-Velha,Linha do Sul
Luzianes,BEJA,ODEMIRA,Luzianes-Gare,Linha do Sul
Lagos,FARO,LAGOS,Sao Goncalo de Lagos,Linha do Algarve
Castro Marim,FARO,CASTRO MARIM,Castro Marim,Linha do Algarve
Alvaraes,VIANA DO CASTELO,VIANA DO CASTELO,Alvaraes,Linha do Minho
Grandola Norte,SETuBAL,GRaNDOLA,Grandola e Santa Margarida da Serra,Linha do Sul
Loule,FARO,LOULe,Loule (Sao Sebastiao),Linha do Algarve
Conceicao,FARO,TAVIRA,Conceicao e Cabanas de Tavira,Linha do Algarve
Moledo do Minho,VIANA DO CASTELO,CAMINHA,Moledo e Cristelo,Linha do Minho
Valega,AVEIRO,OVAR,Valega,Linha do Norte
Bifurcacao de Torre Va,BEJA,OURIQUE,Panoias e Conceicao,Linha do Sul
Alvalade,SETuBAL,SANTIAGO DO CACeM,Alvalade,Linha do Sul
Carregado,LISBOA,VILA FRANCA DE XIRA,Castanheira do Ribatejo e Cachoeiras,Linha do Norte
Figueiredo,AVEIRO,OLIVEIRA DE AZEMeIS,Pinheiro da Bemposta, Travanca e Palmaz,Linha do Vouga
Vale de Guizo,SETuBAL,ALCaCER DO SAL,Santa Maria do Castelo e Santiago e Santa Susana,Linha do Sul
Ovar,AVEIRO,OVAR,Ovar, S. Joao, Arada e S. Vicente de Pereira Jusa,Linha do Norte
Miramar,PORTO,VILA NOVA DE GAIA,Arcozelo,Linha do Norte
Pinheiro,SETuBAL,ALCaCER DO SAL,Santa Maria do Castelo e Santiago e Santa Susana,Linha do Sul
Monte Gordo,FARO,VILA REAL DE SANTO ANToNIO,Monte Gordo,Linha do Algarve
Soudos - Vila Nova,SANTAReM,TOMAR,Paialvo,Ramal de Tomar
Albufeira - Ferreiras,FARO,ALBUFEIRA,Ferreiras,Linha do Algarve
Vale da Rosa,SETuBAL,SETuBAL,Sado,Linha do Sul
Mourisca-Sado,SETuBAL,SETuBAL,Gambia-Pontes-Alto da Guerra,Linha do Sul
Eirol,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Cachofarra,SETuBAL,SETuBAL,Setubal (Sao Sebastiao),Linha do Sul
Praca do Quebedo,SETuBAL,SETuBAL,S. Juliao, N. S. da Anunciada e S. Maria da Graca,Linha do Sul
Vila Real de Stº Antonio,FARO,VILA REAL DE SANTO ANToNIO,Vila Real de Santo Antonio,Linha do Algarve
Palmela - A,SETuBAL,PALMELA,Palmela,Linha do Sul
Palmela,SETuBAL,PALMELA,Palmela,Linha do Sul
Praias-Sado-A,SETuBAL,SETuBAL,Setubal (Sao Sebastiao),Linha do Sul
Porto Rei,VILA REAL,MESaO FRIO,Barqueiros,Linha do Douro
Venda do Alcaide,SETuBAL,PALMELA,Palmela,Linha do Sul
Braco de Prata,LISBOA,LISBOA,Marvila,Linha do Norte
aguas de Moura,SETuBAL,SETuBAL,Gambia-Pontes-Alto da Guerra,Linha do Sul
Corroios,SETuBAL,SEIXAL,Corroios,Linha do Sul
ancora Praia,VIANA DO CASTELO,CAMINHA,Vila Praia de ancora,Linha do Minho
Santa Cruz/Damaia,LISBOA,AMADORA,aguas Livres,Linha de Sintra
Lisboa Rossio,LISBOA,LISBOA,Santa Maria Maior,Linha de Sintra
Santa Cita,SANTAReM,TOMAR,Madalena e Beselga,Ramal de Tomar
Lourical,LEIRIA,POMBAL,Carrico,Linha do Oeste
Ameal-Sul,COIMBRA,MONTEMOR-O-VELHO,Pereira,Linha do Norte
Freineda,GUARDA,ALMEIDA,Freineda,Linha da Beira Alta
Baracal,GUARDA,CELORICO DA BEIRA,Baracal,Linha da Beira Alta
Celorico da Beira,GUARDA,CELORICO DA BEIRA,Forno Telheiro,Linha da Beira Alta
Papizios,VISEU,CARREGAL DO SAL,Carregal do Sal,Linha da Beira Alta
Mourisca do Vouga,AVEIRO,aGUEDA,Trofa, Segadaes e Lamas do Vouga,Linha do Vouga
Cacia,AVEIRO,AVEIRO,Cacia,Linha do Norte
Sacavem,LISBOA,LOURES,Sacavem e Prior Velho,Linha do Norte
Reguengo - Vale da Pedra - Pontevel,SANTAReM,CARTAXO,Vale da Pedra,Linha do Norte
Esqueiro,VIANA DO CASTELO,CAMINHA,Lanhelas,Linha do Minho
Cabanoes,AVEIRO,aGUEDA,Travasso e ois da Ribeira,Linha do Vouga
Azurva,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Leixoes,PORTO,MATOSINHOS,Matosinhos e Leca da Palmeira,Linha de Leixoes
Louro,BRAGA,VILA NOVA DE FAMALICaO,Louro,Linha do Minho
Eixo,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Bustelo,PORTO,PENAFIEL,Bustelo,Linha do Douro
Vale de Santarem,SANTAReM,SANTAReM,Vale de Santarem,Linha do Norte
Ermesinde - B,PORTO,VALONGO,Ermesinde,Concordancia Sao Gemil
Silvalde-Vouga,AVEIRO,ESPINHO,Silvalde,Linha do Vouga
Aregos,PORTO,BAIaO,Santa Cruz do Douro e Sao Tome de Covelas,Linha do Douro
Espadaneira,COIMBRA,COIMBRA,Sao Martinho do Bispo e Ribeira de Frades,Linha do Norte
Esgueira,AVEIRO,AVEIRO,Esgueira,Linha do Vouga
Travagem,PORTO,VALONGO,Ermesinde,Linha do Minho
Marinha Grande,LEIRIA,MARINHA GRANDE,Marinha Grande,Linha do Oeste
Canelas,AVEIRO,ESTARREJA,Canelas e Fermela,Linha do Norte
Caminha,VIANA DO CASTELO,CAMINHA,Caminha (Matriz) e Vilarelho,Linha do Minho
Litem,LEIRIA,POMBAL,Santiago e S. Simao de Litem e Albergaria dos Doze,Linha do Norte
Sampaio-Oleiros,AVEIRO,SANTA MARIA DA FEIRA,Sao Paio de Oleiros,Linha do Vouga
Sao Joao de Loure,AVEIRO,AVEIRO,Eixo e Eirol,Linha do Vouga
Carreira,BRAGA,BARCELOS,Carreira e Fonte Coberta,Linha do Minho
Santarem,SANTAReM,SANTAReM,Uniao das freguesias da cidade de Santarem,Linha do Norte
Fungalvaz,SANTAReM,TORRES NOVAS,Assentiz,Linha do Norte
Chao de Macas-Fatima,SANTAReM,TOMAR,Sabacheira,Linha do Norte
Mira Sintra - Melecas,LISBOA,SINTRA,Queluz e Belas,Linha do Oeste
Barca da Amieira -Envendos,SANTAReM,MAcaO,Envendos,Linha da Beira Baixa
Runa,LISBOA,TORRES VEDRAS,Dois Portos e Runa,Linha do Oeste
Ferrao,VILA REAL,SABROSA,Covas do Douro,Linha do Douro
Vila Fernando,GUARDA,GUARDA,Vila Fernando,Linha da Beira Alta
Mafra,LISBOA,MAFRA,Igreja Nova e Cheleiros,Linha do Oeste
Castelo Mendo,GUARDA,ALMEIDA,Castelo Mendo, Ade, Monteperobolso e Mesquitela,Linha da Beira Alta
Macainhas,CASTELO BRANCO,BELMONTE,Macainhas,Linha da Beira Baixa
Malveira,LISBOA,MAFRA,Malveira e Sao Miguel de Alcainca,Linha do Oeste
Rochoso,GUARDA,GUARDA,Rochoso e Monte Margarida,Linha da Beira Alta
Sarnadas,CASTELO BRANCO,VILA VELHA DE RoDaO,Sarnadas de Rodao,Linha da Beira Baixa
Covilha,CASTELO BRANCO,COVILHa,Covilha e Canhoso,Linha da Beira Baixa
Alegria,BRAGANcA,CARRAZEDA DE ANSIaES,Linhares,Linha do Douro
Livramento,FARO,TAVIRA,Luz de Tavira e Santo Estevao,Linha do Algarve
Porta Nova,FARO,TAVIRA,Tavira (Santa Maria e Santiago),Linha do Algarve
Casa Branca,eVORA,MONTEMOR-O-NOVO,Santiago do Escoural,Linha do Alentejo
Tancos,SANTAReM,VILA NOVA DA BARQUINHA,Praia do Ribatejo,Linha da Beira Baixa
Queluz-Belas,LISBOA,SINTRA,Queluz e Belas,Linha de Sintra
Reveles,COIMBRA,MONTEMOR-O-VELHO,Abrunheira, Verride e Vila Nova da Barca,Ramal de Alfarelos
Vidigal,eVORA,VENDAS NOVAS,Vendas Novas,Linha de Vendas Novas
Canha,SETuBAL,MONTIJO,Canha,Linha de Vendas Novas
Amoreiras-Odemira,BEJA,ODEMIRA,Sao Martinho das Amoreiras,Linha do Sul
Azinheira dos Barros,SETuBAL,GRaNDOLA,Azinheira dos Barros e Sao Mamede do Sadao,Linha do Sul
Petrogal - Asfaltos,SETuBAL,SINES,Sines,Ramal Petrogal - Asfaltos
Ribeira de Seica,COIMBRA,FIGUEIRA DA FOZ,Paiao,Linha do Oeste
Fornos de Algodres,GUARDA,FORNOS DE ALGODRES,Fornos de Algodres,Linha da Beira Alta
Barragem de Belver,SANTAReM,MAcaO,Ortiga,Linha da Beira Baixa
Benespera,GUARDA,GUARDA,Benespera,Linha da Beira Baixa
Monte Real,LEIRIA,LEIRIA,Souto da Carpalhosa e Ortigosa,Linha do Oeste
Moimenta Alcafache,VISEU,MANGUALDE,Espinho,Linha da Beira Alta
Esmoriz,AVEIRO,OVAR,Esmoriz,Linha do Norte
Godim,VILA REAL,PESO DA ReGUA,Peso da Regua e Godim,Linha do Douro
Miuzela,GUARDA,ALMEIDA,Miuzela e Porto de Ovelha,Linha da Beira Alta
Vale de Prazeres,CASTELO BRANCO,FUNDaO,Vale de Prazeres e Mata da Rainha,Linha da Beira Baixa
obidos,LEIRIA,oBIDOS,Santa Maria, Sao Pedro e Sobral da Lagoa,Linha do Oeste
Amieira,COIMBRA,SOURE,Samuel,Linha do Oeste
Vila Franca das Naves,GUARDA,TRANCOSO,Vila Franca das Naves e Feital,Linha da Beira Alta
Camarao,LEIRIA,BOMBARRAL,Bombarral e Vale Covo,Linha do Oeste
Raquete,SETuBAL,SINES,Sines,Linha de Sines
Tomar,SANTAReM,TOMAR,Sao Joao Baptista e Santa Maria dos Olivais,Ramal de Tomar
Desvio Km 19.5,SANTAReM,SALVATERRA DE MAGOS,Gloria do Ribatejo e Granho,Linha de Vendas Novas
Grandola,SETuBAL,GRaNDOLA,Grandola e Santa Margarida da Serra,Linha do Sul
Alvega-Ortiga,SANTAReM,MAcaO,Ortiga,Linha da Beira Baixa
Sapataria,LISBOA,SOBRAL DE MONTE AGRAcO,Sapataria,Linha do Oeste
Leiria,LEIRIA,LEIRIA,Marrazes e Barosa,Linha do Oeste
Arronches,PORTALEGRE,ARRONCHES,Assuncao,Linha do Leste
Caria,CASTELO BRANCO,BELMONTE,Caria,Linha da Beira Baixa
Canas Felgueira,VISEU,NELAS,Canas de Senhorim,Linha da Beira Alta
Macinhata,AVEIRO,aGUEDA,Macinhata do Vouga,Linha do Vouga
Carvalheira - Maceda,AVEIRO,OVAR,Maceda,Linha do Norte
Francelos Sul,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Francelos Norte,PORTO,VILA NOVA DE GAIA,Gulpilhares e Valadares,Linha do Norte
Fuentes de Onoro,,,,Rede Espanhola
Badajoz,,,,Rede Espanhola
Porto Campanha,PORTO,PORTO,Porto,Linha do Norte
Viana do Castelo,VIANA DO CASTELO,VIANA DO CASTELO,Viana do Castelo,Linha do Minho
Ermidas-Sado,SETuBAL,SANTIAGO DO CACeM,Ermidas-Sado,Linha do Sul
Faro,FARO,FARO,Faro,Linha do Algarve
Funcheira,BEJA,OURIQUE,Funcheira,Linha do Sul
Lisboa Oriente,LISBOA,LISBOA,Parque das Nacoes,Linha do Norte
Nine,BRAGA,FAMALICaO,Nine,Linha do Minho
Pinhal Novo,SETuBAL,PALMELA,Pinhal Novo,Linha do Sul
Pombal,LEIRIA,POMBAL,Pombal,Linha do Norte
Tunes,FARO,SILVES,Tunes,Linha do Sul
Vila Nova de Gaia-Devesas,PORTO,VILA NOVA DE GAIA,Vila Nova de Gaia,Linha do Norte
